motif	total	kmer5p	kmer5p_pcrt	poisson_pval_5p	padj_5p
M0085_1.02	6655	411	0.0617580766341097	1.89895332333938e-05	0.0164829148465858
M0104_1.02	1956	64	0.032719836400818	0.999887926478899	1
M0105_1.02	1696	13	0.00766509433962264	1	1
M0108_1.02	2604	27	0.01036866359447	1	1
M0177_1.02	2858	140	0.0489853044086774	0.607016331718936	1
M0178_1.02	2168	916	0.422509225092251	0	0
M0183_1.02	2995	406	0.135559265442404	8.33227821144209e-67	7.23241748753173e-64
M0189_1.02	1792	317	0.176897321428571	1.98704252540265e-77	1.7247529120495e-74
M0191_1.02	4920	446	0.090650406504065	1.71575422844924e-30	1.48927467029394e-27
M0195_1.02	1832	332	0.181222707423581	1.64285683149455e-83	1.42599972973727e-80
M0196_1.02	2576	362	0.140527950310559	2.11802274903792e-63	1.83844374616491e-60
M0198_1.02	6084	250	0.0410913872452334	0.999377101129324	1
M0199_1.02	6844	362	0.0528930450029223	0.148551566156574	1
M0211_1.02	1664	317	0.190504807692308	7.29765705730484e-85	6.3343663257406e-82
M0212_1.02	3253	364	0.111896710728558	4.74748605366206e-42	4.12081789457867e-39
M0214_1.02	2372	546	0.230185497470489	7.92215956750141e-179	6.87643450459122e-176
M0216_1.02	3192	1006	0.31516290726817	0	0
M0217_1.02	2392	100	0.0418060200668896	0.969787332181071	1
M0220_1.02	3880	729	0.187886597938144	3.39014192368021e-189	2.94264318975442e-186
M0224_1.02	2000	75	0.0375	0.996026814029178	1
M0305_1.02	2788	459	0.164634146341463	4.69514315528092e-101	4.07538425878384e-98
M0395_1.02	1276	13	0.0101880877742947	0.999999999999998	1
M0396_1.02	4204	230	0.054709800190295	0.0929350078461309	1
M0398_1.02	5698	896	0.157248157248157	6.67416579731529e-183	5.79317591206967e-180
M0404_1.02	4936	606	0.122771474878444	1.04053720004244e-82	9.03186289636838e-80
M0405_1.02	6869	2239	0.325957199010045	0	0
M0408_1.02	2428	43	0.0177100494233937	1	1
M0413_1.02	5072	65	0.0128154574132492	1	1
M0415_1.02	1792	52	0.0290178571428571	0.999993441690805	1
M0420_1.02	5876	754	0.128318584070796	4.08675453617764e-111	3.54730293740219e-108
M0422_1.02	6448	656	0.101736972704715	9.63158044791072e-60	8.3602118287865e-57
M0424_1.02	3288	424	0.128953771289538	6.04292184303349e-64	5.24525615975307e-61
M0428_1.02	2048	24	0.01171875	1	1
M0431_1.02	2896	203	0.0700966850828729	2.90496945644565e-06	0.00252151348819482
M0432_1.02	4496	456	0.101423487544484	8.0270719722876e-42	6.96749847194564e-39
M0433_1.02	3498	161	0.0460263007432819	0.862481439897313	1
M0436_1.02	3136	150	0.0478316326530612	0.717071047947053	1
M0437_1.02	1217	55	0.0451930977814297	0.790179537916689	1
M0442_1.02	3736	227	0.0607601713062099	0.00238783640281449	1
M0594_1.02	1168	10	0.00856164383561644	0.999999999999999	1
M0607_1.02	2784	113	0.0405890804597701	0.990023447467495	1
M0608_1.02	7076	1526	0.215658564160543	0	0
M0609_1.02	7122	1064	0.149396237012075	8.0875857924265e-201	7.0200244678262e-198
M0610_1.02	3664	221	0.0603165938864629	0.00366626360352207	1
M0629_1.02	3337	26	0.00779142942762961	1	1
M0630_1.02	2991	57	0.0190571715145436	1	1
M0632_1.02	2814	57	0.0202558635394456	1	1
M0633_1.02	1980	5	0.00252525252525253	1	1
M0635_1.02	4052	22	0.0054294175715696	1	1
